rank2018,rank2017,name,income,profit,code,market,note,note2
1,1,中国石油化工股份有限公司,2360193,51119,600028,HKG,中石化,四地上市，港交所：0386、上交所：600028、NYSE：SNP、LSE：SNP
2,2,中国石油天然气股份有限公司,2015890,22793,601857,HKG,中石油,三地上市，上交所：601857，港交所：0857，NYSE：PTR
3,3,中国建筑股份有限公司,1054107,32942,0000,,,
4,5,中国平安保险（集团）股份有限公司,890882,89088,0000,,,
5,4,上海汽车集团股份有限公司,870639,34410,0000,,,
6,6,中国移动有限公司,740514,114279,0000,,,
7,7,中国工商银行股份有限公司,726502,286049,0000,,,
8,8,中国中铁股份有限公司,693367,16067,0000,,,
9,9,中国铁建股份有限公司,680981,16057,0000,,,
10,11,中国人寿保险股份有限公司,653195,32253,0000,,,
11,10,中国建设银行股份有限公司,621659,242264,0000,,,
12,12,中国农业银行股份有限公司,537041,192962,0000,,,
13,14,中国人民保险集团股份有限公司,483775,16099,0000,,,
14,13,中国银行股份有限公司,483278,172407,0000,,,
15,15,中国交通建设股份有限公司,482804,20581,0000,,,
16,17,中国中信股份有限公司,390344,38037,0000,,,
17,16,中国电信股份有限公司,366229,18617,0000,,,
18,21,京东商城电子商务有限公司,362332,117,0000,,,
19,20,中国太平洋保险（集团）股份有限公司,319809,14662,0000,,,
20,18,联想控股股份有限公司,316263,5048,0000,,,
21,174,海航科技股份有限公司,315460,821,0000,,,
22,29,中国恒大集团,311022,24372,0000,,,
23,23,绿地控股集团股份有限公司,290418,9038,0000,,,
24,35,宝山钢铁股份有限公司,289498,19170,0000,,,
25,22,国药控股股份有限公司,277717,5283,0000,,,
26,31,物产中大集团股份有限公司,276620,2235,0000,,,
27,19,中国联合网络通信股份有限公司,274829,426,0000,,,
28,25,中国电力建设股份有限公司,266820,7367,0000,,,
29,36,中国神华能源股份有限公司,248746,45037,0000,,,
30,28,中国冶金科工股份有限公司,244000,6061,0000,,,
31,24,万科企业股份有限公司,242897,28052,0000,,,
32,38,美的集团股份有限公司,241919,17284,0000,,,
33,43,腾讯控股有限公司,237760,71510,0000,,,
34,27,中国能源建设股份有限公司,234370,5261,0000,,,
35,49,阿里巴巴集团控股有限公司,226913,67071,0000,,,
36,42,碧桂园控股有限公司,226900,26064,0000,,,
37,34,中国邮政储蓄银行股份有限公司,224864,47683,0000,,,
38,30,招商银行股份有限公司,220897,70150,0000,,,
39,47,厦门建发股份有限公司,218602,3331,0000,,,
40,26,中国中车股份有限公司,211013,10799,0000,,,
41,32,江西铜业股份有限公司,205047,1604,0000,,,
42,57,厦门象屿股份有限公司,203291,714,0000,,,
43,33,交通银行股份有限公司,196011,70223,0000,,,
44,44,苏宁易购集团股份有限公司,187928,4213,0000,,,
45,45,中国海洋石油有限公司,186390,24677,0000,,,
46,48,中国铝业股份有限公司,180081,1378,0000,,,
47,51,中国太平保险控股有限公司,169901,5316,0000,,,
48,37,上海浦东发展银行股份有限公司,168619,54258,0000,,,
49,72,厦门国贸集团股份有限公司,164651,1907,0000,,,
50,52,广汇汽车服务股份公司,160712,3884,0000,,,
51,58,青岛海尔股份有限公司,159254,6926,0000,,,
52,62,华能国际电力股份有限公司,152459,1793,0000,,,
53,76,潍柴动力股份有限公司,151569,6808,0000,,,
54,66,兖州煤业股份有限公司,151228,6771,0000,,,
55,50,万洲国际有限公司,151099,7650,0000,,,
56,63,珠海格力电器股份有限公司,150020,22402,0000,,,
57,53,华润医药集团有限公司,149482,3018,0000,,,
58,41,保利房地产（集团）股份有限公司,146342,15626,0000,,,
59,40,中国民生银行股份有限公司,144281,49813,0000,,,
60,46,新华人寿保险股份有限公司,144132,5383,0000,,,
61,54,上海建工集团股份有限公司,142083,2584,0000,,,
62,39,兴业银行股份有限公司,139975,57200,0000,,,
63,59,北京汽车股份有限公司,134159,2253,0000,,,
64,56,上海医药集团股份有限公司,130847,3521,0000,,,
65,73,中国华融资产管理股份有限公司,128071,21993,0000,,,
66,67,中国建材股份有限公司,127626,3225,0000,,,
67,60,中国南方航空股份有限公司,127489,5914,0000,,,
68,55,东风汽车集团股份有限公司,125016,14063,0000,,,
69,61,中国国际航空股份有限公司,121363,7240,0000,,,
70,78,中国信达资产管理股份有限公司,120035,18122,0000,,,
71,64,TCL集团股份有限公司,111727,2664,0000,,,
72,84,中国航油（新加坡）股份有限公司,109836,576,0000,,,
73,77,中国再保险（集团）股份有限公司,109671,5256,0000,,,
74,88,河钢股份有限公司,108983,1817,0000,,,
75,68,中兴通讯股份有限公司,108815,4568,0000,,,
76,65,比亚迪股份有限公司,105915,4066,0000,,,
77,75,华润置地有限公司,102745,19942,0000,,,
78,71,中国东方航空股份有限公司,101721,6352,0000,,,
79,87,远大产业控股股份有限公司,101525,-193,0000,,,
80,70,长城汽车股份有限公司,101169,5027,0000,,,
81,79,中国通信服务股份有限公司,94572,2714,0000,,,
82,82,紫金矿业集团股份有限公司,94549,3508,0000,,,
83,95,京东方科技集团股份有限公司,93800,7568,0000,,,
84,--,中国宏桥集团有限公司,93313,5119,0000,,,
85,123,吉利汽车控股有限公司,92761,10634,0000,,,
