,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,600318,新力金融,--,--,--,--,--,--
1,000938,紫光股份,--,--,--,--,--,--
2,601992,金隅集团,--,--,--,--,--,--
3,002575,群兴玩具,66.4957,66.4489,4580.9385,-3062.9972,99.0742,0.9258
4,600868,梅雁吉祥,4.3547,4.3547,198.8996,-588.7884,97.669,2.331
5,300333,兆日科技,23.8105,21.6117,1616.071,-448.95,97.3702,2.6298
6,000831,五矿稀土,22.8074,9.4942,186.8918,-2953.8692,96.4507,3.5493
7,300223,北京君正,34.3455,30.0125,171.7042,-7279.6046,96.4175,3.5825
8,603516,淳中科技,21.9,20.377,439.1238,-6657.7474,95.9,4.1
9,002820,桂发祥,7.9248,7.0155,543.5143,112983.9987,95.7932,4.2068
10,300485,赛升药业,15.0966,13.3993,241.6343,-27703.7194,95.549,4.451
11,300628,亿联网络,20.5932,19.6619,94.5908,-8985.8301,95.3749,4.6251
12,603758,秦安股份,10.0235,7.6294,513.8168,169.4544,95.1266,4.8734
13,600381,青海春天,40.6751,31.8349,659.8686,-11775.4211,95.0086,4.9914
14,600883,博闻科技,32.6982,32.0988,2429.6169,-112.3185,94.8463,5.1537
15,300127,银河磁体,16.1902,14.324,177.7393,-3655.0517,94.7234,5.2766
16,600506,香梨股份,29.5956,28.1392,1701.8268,1137.4737,94.7175,5.2825
17,002515,金字火腿,12.115,9.7738,466.6881,-187.122,94.6522,5.3478
18,000576,广东甘化,13.0346,12.9635,306.8858,-916.2875,94.633,5.367
19,300357,我武生物,15.012,14.6314,809.0269,-3899.3077,94.3346,5.6654
20,603696,安记食品,11.9935,11.0425,629.7251,-753.0706,94.2907,5.7093
21,002015,霞客环保,11.7266,4.6831,86.0024,-571.6263,94.0503,5.9497
22,300016,北陆药业,10.6514,9.0216,457.8388,-6635.3144,94.0429,5.9571
23,300401,花园生物,10.6111,7.799,133.6967,28631.8452,94.0295,5.9705
24,300054,鼎龙股份,10.7307,9.5721,344.0689,-1368.9915,94.013,5.987
25,300379,东方通,10.198,9.699,630.3657,135.6006,93.83,6.17
26,000096,广聚能源,10.2194,9.9482,854.4205,-643.004,93.5033,6.4967
27,603058,永吉股份,9.8386,8.7554,291.4726,-3060.8551,93.4922,6.5078
28,000038,深大通,8.7733,8.672,517.9349,-321.5828,93.3682,6.6318
29,300534,陇神戎发,7.3328,6.717,84.8934,-4922.4657,93.2823,6.7177
30,002148,北纬科技,8.5173,8.4792,76.9478,-1946.319,93.253,6.747
31,300081,恒信东方,7.8448,6.6737,446.1774,-3785.1496,93.1109,6.8891
32,000722,湖南发展,11.9744,11.0646,724.5861,-1096.2458,93.0904,6.9096
33,300371,汇中股份,9.4221,7.4446,196.2932,-3242.7825,93.0034,6.9966
34,300624,万兴科技,10.0933,9.9448,139.0261,-4269.3058,92.9398,7.0602
