,code,name,mbrg,nprg,nav,targ,epsg,seg
0,603399,吉翔股份,77.9235,82016.2612,17.4709,24.079,2500.0,15.5965
1,600083,博信股份,3111.4297,51381.4112,1.4368,68.8194,-1395.0,28.7323
2,002305,南国置业,-21.5072,35252.0618,0.5987,7.2037,93.1034,-0.5445
3,600256,广汇能源,196.0477,18651.0888,13.6413,5.4311,1650.0,8.3149
4,600784,鲁银投资,-7.7323,10246.3998,-12.0373,-15.8046,6900.0,-6.0635
5,300272,开能健康,18.4835,8692.7011,-1.3598,-41.1241,2490.9884,62.7517
6,600319,亚星化学,7.7469,5366.2027,451.9202,-15.364,,451.9202
7,000912,*ST天化,8.6968,5212.7403,-1161.3469,-21.8709,4706.4516,-1157.3347
8,600136,当代明诚,264.9991,4908.7558,12.9393,55.288,22500.0,7.5445
9,002696,百洋股份,29.0337,4716.6726,106.3421,87.4884,-1258.0,116.6565
10,002016,世荣兆业,610.7286,4699.1042,60.2034,-9.1923,4076.6667,60.3135
11,600429,三元股份,26.7149,4430.1895,17.4168,85.0065,2054.5455,2.32
12,600131,岷江水电,44.2612,4352.594,13.8034,0.0087,1360.0,13.276
13,002613,北玻股份,34.0839,3639.0964,4.7873,14.1567,3976.1905,1.2724
14,000553,沙隆达A,891.0288,3360.7336,883.7182,1202.3907,740.2427,883.7182
15,601360,三六零,477.3356,2927.0158,951.3231,773.8935,69.4915,971.5205
16,000040,东旭蓝天,29.3425,2910.2018,14.5843,54.1599,2903.7037,14.4504
17,300750,宁德时代,155.2034,2744.8548,,,-1221.6931,
18,600781,辅仁药业,897.6819,2733.9068,1002.8101,676.9278,823.5669,1176.5178
19,600516,方大炭素,408.4018,2699.4545,101.0469,96.9977,2374.5327,97.7873
20,600740,山西焦化,49.2934,2540.0879,250.7768,71.8696,1311.7647,321.5768
21,300080,易成新能,194.1288,2458.2658,-20.4045,3.1846,393.3333,-32.2867
22,600515,海航基础,-2.3194,2234.1325,-9.2575,-6.0837,2014.2857,-16.3038
23,300107,建新股份,176.0569,2233.2516,20.1523,23.5264,2211.1111,20.1523
24,002535,林州重机,85.7703,2218.4742,1.4335,13.4967,2164.2857,-0.2054
25,002798,帝欧家居,935.552,2178.1373,388.8867,580.7468,1750.0,388.8706
26,300052,中青宝,7.0255,2166.8367,-18.4163,4.4192,500.0,-19.6898
27,600216,浙江医药,61.6805,2149.8551,17.6506,19.0047,1533.3333,10.7458
28,000885,同力水泥,-43.7344,2123.0153,-32.9249,17.2814,51740.0,-20.7795
29,300423,鲁亿通,1171.2597,1967.0304,330.0274,708.7005,1333.3333,330.0274
30,300176,鸿特科技,184.0794,1564.3669,104.2104,53.7172,1564.0675,104.2104
31,601958,金钼股份,-24.2857,1562.8575,0.8893,-1.5926,1900.0,0.7187
32,002386,天原集团,35.1656,1511.1678,-0.9066,1.7845,250.0,2.9422
33,600708,光明地产,28.7965,1430.9117,21.0484,22.1678,806.0423,22.9963
34,601106,中国一重,75.2561,1350.2796,17.7609,11.1792,333.3333,17.8718
35,300276,三丰智能,264.8425,1345.3557,282.1945,394.9454,837.9747,294.1141
36,002034,旺能环境,14.0147,1306.3979,299.8421,367.9136,566.6667,303.0583
37,002428,云南锗业,26.2222,1270.3576,0.6023,-7.1764,50.0,0.6178
38,000560,我爱我家,642.7665,1268.9881,157.6766,172.1702,572.5806,152.2025
39,600361,华联综超,-3.3996,1231.356,4.0533,-5.5865,941.6667,4.1823
40,000850,华茂股份,19.9657,1220.3238,-5.7716,-4.4148,742.2414,-6.3585
41,002299,圣农发展,16.4499,1203.3239,6.3196,11.1407,371.8894,7.4692
42,002383,合众思壮,214.2159,1186.7329,6.8792,75.498,238.1643,6.7932
43,002164,宁波东力,4717.7573,1168.7703,217.05,807.8762,677.7778,216.2838
44,300038,梅泰诺,275.5142,1077.3432,57.4476,16.9165,730.814,61.6776
45,600369,西南证券,,1075.2868,0.9485,1.9389,1090.4762,1.3444
46,000042,中洲控股,39.4784,1065.2015,21.0771,36.6526,929.563,12.4675
47,002336,人人乐,-9.628,1050.8664,-21.0615,-4.7071,1052.459,-21.0699
48,002685,华东重机,64.2565,1030.0551,232.8479,189.4796,1560.0,241.2007
49,600665,天地源,36.0194,987.4581,9.2532,16.1756,897.0,9.1503
50,600406,国电南瑞,170.5481,955.8862,137.2374,164.1736,100.0,119.6011
51,300251,光线传媒,-34.2487,953.2196,44.4626,48.0017,1033.3333,45.7663
52,600579,天华院,31.4888,945.7917,-3.3026,0.3368,947.619,-3.3026
53,600963,岳阳林纸,35.0136,938.448,52.0344,8.6936,685.7143,52.0344
54,002133,广宇集团,120.0528,902.392,15.8582,-1.867,800.0,11.1589
55,000789,万年青,48.7869,895.6237,14.0466,3.8809,3366.9811,18.5669
56,601155,新城控股,154.2126,862.2461,61.5761,68.2512,650.0,42.0202
57,600027,华电国际,17.5977,859.9561,0.188,5.1741,6900.0,-0.4312
58,600725,ST云维,259.6013,828.2508,190.4833,108.9599,825.0,190.4833
59,300583,赛托生物,133.5093,814.9704,6.2713,18.3592,574.6305,6.6567
60,000301,东方市场,-8.3077,752.771,3.476,-21.1589,770.9677,3.4818
61,002102,冠福股份,85.9576,701.9449,9.8273,14.4952,682.6772,9.983
62,002374,丽鹏股份,29.4509,693.8998,5.646,20.0659,831.5789,2.4845
63,002384,东山精密,25.2685,659.5932,192.518,49.6932,433.3333,193.1523
64,600801,华新水泥,16.318,656.0201,19.7071,-1.3845,483.3333,23.0729
65,300173,智慧松德,-9.3259,654.6312,3.2278,12.0433,780.0,3.2146
66,002642,荣之联,79.3735,627.1553,10.1229,24.3104,602.381,10.1271
67,300224,正海磁材,103.2584,613.9214,-1.5763,0.4768,200.0,-1.2395
68,002600,领益智造,24.5963,606.3078,106.4139,82.2037,40.0,108.857
69,300391,康跃科技,124.2185,599.5802,265.995,164.0968,337.5,266.9447
70,300688,创业黑马,7.6064,598.9783,113.0644,85.8576,250.0,115.1392
71,601168,西部矿业,5.6529,598.0347,3.9897,12.378,600.0,-0.228
72,002334,英威腾,16.9756,575.474,11.5199,34.4028,194.5946,12.7804
73,300492,山鼎设计,8.6714,575.3729,5.2047,9.406,100.0,5.892
74,600609,金杯汽车,9.8206,551.708,89.7037,-52.6163,-138.7755,1025.0887
75,002001,新和成,148.0034,549.2603,86.0603,64.1907,461.9048,86.1125
76,000718,苏宁环球,42.6915,546.272,8.8389,-9.8174,544.6043,10.2875
77,002709,天赐材料,14.9531,540.2955,62.551,62.5879,505.0,67.2997
78,600789,鲁抗医药,38.4594,531.6452,53.7063,45.2792,465.2174,56.4577
79,300409,道氏技术,437.6404,530.8061,72.1791,144.3436,275.0,28.913
80,000631,顺发恒业,14.2241,519.6059,14.5143,-17.8101,433.3333,14.655
81,600387,海越能源,112.3834,505.7817,98.0206,28.8086,214.2857,115.5424
82,000673,当代东方,67.0554,504.5969,-8.0858,15.8516,608.4337,-3.1785
83,002499,科林环保,-48.0791,498.6273,1.7719,20.882,411.4943,8.4728
84,601028,玉龙股份,31.3046,497.7186,3.946,-11.7486,400.0,4.0715
85,300554,三超新材,250.9424,496.4508,130.9075,110.4893,347.2542,130.9075
86,000981,银亿股份,136.8081,494.2878,103.1452,44.0374,550.8876,113.6754
87,002013,中航机电,18.8578,493.8408,21.1225,10.4212,58.8235,13.8635
88,300401,花园生物,171.6562,493.5483,83.5071,77.994,481.8182,83.5071
89,300462,华铭智能,15.9689,486.6592,10.3926,8.8425,566.6667,10.4748
90,002023,海特高新,0.9568,475.9401,-5.1868,7.3742,229.1667,-5.501
91,002061,浙江交科,326.586,460.8886,125.9829,327.2834,139.5833,118.6187
92,000862,银星能源,8.8177,443.9457,-6.5692,-7.2693,386.8421,-6.415
93,600658,电子城,229.5344,441.8482,10.3669,49.0318,550.0,7.2756
94,603588,高能环境,77.9866,437.861,15.2574,30.9243,370.0,12.3284
95,000932,华菱钢铁,11.1687,435.7792,70.6313,6.5413,398.7255,81.3557
96,603637,镇海股份,63.7887,435.0368,4.0249,14.1558,300.0,4.0249
97,300132,青松股份,64.6789,429.736,22.0018,41.5336,430.303,22.0018
98,300094,国联水产,20.2533,423.8452,11.264,25.7346,408.4746,11.264
99,300346,南大光电,139.381,421.3608,2.943,6.2071,320.5128,2.7161
100,600869,智慧能源,22.1003,420.446,-4.9512,23.7669,498.1132,-6.4968
101,002626,金达威,79.6298,419.3446,24.5332,11.6406,400.0,25.1203
102,002151,北斗星通,91.6356,419.1026,1.5798,19.405,-21.0,0.4588
103,601003,柳钢股份,25.493,416.2949,70.4045,-4.7839,416.0556,70.4045
104,601599,鹿港文化,11.2656,415.8717,-3.5993,26.0716,100.0,-2.6214
105,300618,寒锐钴业,218.6657,412.5171,61.8917,123.0035,141.8182,61.8917
106,000717,韶钢松山,15.8913,410.4187,511.4822,-6.2578,410.3597,511.4822
107,300472,新元科技,145.0853,405.8269,215.3321,207.6759,350.0,209.1936
108,603595,东尼电子,210.9553,402.6957,205.4162,190.0815,273.913,205.4162
