,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600793,宜宾纸业,59.91,31.28,17.3131,217.7892,2.0682,696.1194,6.6108
1,600408,*ST安泰,39.43,11.52,11.2574,447.255,0.4442,3881.2898,3.855
2,000516,国际医学,37.75,137.12,20.3238,2208.9102,1.1206,1610.9027,0.8172
3,600678,四川金顶,33.92,9.95,21.0348,16.4685,0.0471,165.3754,0.4738
4,000720,*ST新能,33.61,77.71,14.8766,562.4881,0.4361,723.7957,0.5612
5,600516,方大炭素,32.3,52.05,81.0618,3166.5606,1.7702,6082.6769,3.4004
6,600507,方大特钢,31.22,15.85,31.3634,1305.8634,0.9006,8238.2265,5.682
7,600802,福建水泥,29.45,17.78,34.0958,225.1864,0.5896,1266.441,3.3163
8,300272,开能健康,27.59,71.31,34.8918,300.0959,0.7536,420.7957,1.0567
9,601003,柳钢股份,25.63,9.03,13.1324,2040.5734,0.7962,22583.2885,8.8119
10,600338,西藏珠峰,24.23,47.91,73.2401,529.9541,0.8115,1106.0175,1.6937
11,600309,万华化学,23.08,23.12,40.123,6949.9344,2.542,30054.1746,10.9926
12,600230,沧州大化,22.77,30.8,54.1841,768.0617,1.8648,2493.179,6.0534
13,603260,合盛硅业,22.01,26.41,41.7434,1445.9071,2.158,5473.0941,8.1687
14,600132,重庆啤酒,21.27,11.9,39.4065,209.8733,0.4336,1763.5794,3.6439
15,000629,攀钢钒钛,21.07,16.98,25.3882,1150.4206,0.1339,6771.9911,0.7883
16,300122,智飞生物,19.99,32.93,59.1991,682.3785,0.4264,2071.8761,1.2949
17,603288,海天味业,19.18,25.77,47.1116,2248.0178,0.8322,8720.0479,3.2282
18,000672,上峰水泥,19.08,24.47,44.3069,509.6262,0.6263,2081.9053,2.5588
19,603868,飞科电器,18.47,21.92,39.3515,398.1746,0.914,1815.7808,4.1684
20,600566,济川药业,18.33,22.14,84.72,842.517,1.0346,3803.7247,4.6709
21,002460,赣锋锂业,18.23,35.89,43.9776,837.0689,0.7508,2331.8053,2.0915
22,002626,金达威,17.87,36.83,57.5249,490.0222,0.7948,1330.3665,2.1579
23,000895,双汇发展,17.8,10.09,21.3603,2385.3323,0.7229,23621.3893,7.1589
24,600779,水井坊,17.31,20.01,81.138,267.4546,0.5474,1336.1812,2.735
25,300132,青松股份,17.11,25.96,39.9237,146.3602,0.3792,563.6625,1.4605
