	code	name	industry	area	pe	outstanding	totals	reservedPerShare	esp	bvps	pb	timeToMarket	profit	gpr	npr	pos2year	pos1year	pos6month	subvalue	totalvalue	
600379	600379	宝光股份	电气设备	陕西	41.9	2.4	2.4	0	0.1	2.2	3.5	20020116	-8.4	24.3	5.4	0	0	0	16.2	16.2	 
2282	2282	博深工具	轻工机械	河北	71.9	1.8	4.4	3.3	0	4.8	2.1	20090821	261.7	30.2	6.3	0	0	0	16.5	39.2	 
2691	2691	冀凯股份	专用机械	河北	228.9	3.4	3.4	0.9	0	2.6	3.5	20120731	14.3	33.1	3.9	0	0	0	27.7	27.7	 
600158	600158	中体产业	文教休闲	天津	0	6.6	8.4	0	0	1.9	4.7	19980327	16	19.5	-10.6	0	0	0	53.7	69	 
759	759	中百集团	超市连锁	湖北	4.9	6.8	6.8	1.6	0.7	5	1.3	19970519	237.1	22	5.9	0	0	0	40.8	40.8	 
2108	2108	沧州明珠	塑料	河北	28.5	14.2	14.2	0.1	0.1	2.2	2.3	20070124	-56.7	18.6	8.3	0	0	0	64	64	 
2404	2404	嘉欣丝绸	纺织	浙江	26.4	4	5.8	1.1	0.1	3	1.9	20100511	52.2	15.1	4.2	0	0	0	20.8	30.2	 
603788	603788	宁波高发	汽车配件	浙江	13.1	2.3	2.3	5.3	0.4	8.4	2.2	20150120	35.9	33.8	21.4	0	0	0	39.8	39.9	 
603309	603309	维力医疗	医疗保健	广东	90.3	2	2	1.5	0	4.5	2.5	20150302	-58.5	33	4.8	0	0	0	20.8	20.8	 
600097	600097	开创国际	渔业	上海	74.4	2	2.4	2.5	0.1	6.2	1.7	19970619	164.9	32.8	1.9	0	0	0	20.7	24.5	 
603703	603703	盛洋科技	通信设备	浙江	0	1.1	2.3	0.4	0	2.3	3.7	20150423	-128.3	17.7	-3	0	0	0	8.8	18.5	 
300045	300045	华力创通	电脑设备	北京	365.8	3.7	6.2	1.3	0	2.8	2.7	20100120	-67.9	45.7	2.9	0	0	0	26.6	44.7	 
600754	600754	锦江股份	酒店餐饮	上海	25.6	6.5	9.6	8.4	0.2	13	1.9	19961011	15.8	89.7	7.1	0	0	0	151.1	223	TRUE
600571	600571	信雅达	软件服务	浙江	212.1	4.2	4.4	0.4	0	3.2	2.4	20021101	-73.6	50.8	1.3	0	0	0	30.6	31.8	 
600053	600053	九鼎投资	多元金融	江西	33.5	4.3	4.3	0.4	0.1	4.7	3.1	19970418	-17.2	98.6	27.7	0	0	0	59	59	 
2122	2122	*ST天马	机械基件	浙江	0	11.8	11.9	0.9	0	3.9	0.4	20070328	-242	7	-5.8	0	0	0	17.4	17.5	 
300290	300290	荣科科技	软件服务	辽宁	106.2	3.2	3.4	0.3	0	2.2	3.1	20120216	52.3	27.5	5.7	0	0	0	21.1	22.2	 
300113	300113	顺网科技	互联网	浙江	17.3	4.8	6.9	1	0.2	4.7	3.4	20100827	21.4	64.4	27.8	0	0	0	72.8	105.9	 
603005	603005	晶方科技	半导体	江苏	101.6	1.8	2.3	4	0.1	7.7	2.7	20140210	-53.9	28.7	8.7	0	0	0	35.1	47	 
2676	2676	顺威股份	塑料	广东	0	7.2	7.2	0.1	0	1.4	2.3	20120525	-358.7	14.7	-4.1	0	0	0	22	22	 
2224	2224	三 力 士	橡胶	浙江	47.4	4.7	6.6	0.2	0	2.6	2.1	20080425	-40.1	35.9	10.6	0	0	0	24.7	34.5	 
300115	300115	长盈精密	元器件	深圳	82.5	9.1	9.1	1.4	0	4.9	2.2	20100902	-84.9	23.2	1.8	0	0	0	95	95.6	 
2642	2642	荣之联	软件服务	北京	1063.9	5.2	6.6	4.4	0	6.3	1.4	20111220	112.6	23	0.2	0	0	0	43.9	56.4	 
936	936	华西股份	化纤	江苏	97.4	7.5	8.9	0.6	0	5.1	1.1	19990810	-32.3	15.1	2.3	0	0	0	40.2	47.6	 
989	989	九 芝 堂	中成药	湖南	18.5	4.2	8.7	2	0.4	5.2	2.7	20000628	-9.8	66.2	18.2	0	0	0	56.2	116.3	 
300145	300145	中金环境	专用机械	浙江	13.5	11.9	19.2	0.8	0.2	2.6	1.8	20101209	28.8	38.3	15.3	0	0	0	51.2	83.1	 
300431	300431	暴风集团	互联网	北京	0	2.5	3.3	1.1	-0.1	3.2	3.5	20150324	-79.3	6	-7.6	0	0	0	26.5	35	 
300380	300380	安硕信息	软件服务	上海	220.6	0.7	1.4	1	0	3	5.9	20140128	135.6	39.4	2.7	0	0	0	11.9	23	 
300229	300229	拓尔思	软件服务	北京	720.7	4.5	4.7	1.3	0	3.8	2.6	20110615	133.3	52.7	1	0	0	0	43.2	45.4	 
600029	600029	南方航空	空运	广东	6.5	70.2	100.9	1.5	0.3	5.2	1.3	20030725	64.1	14.5	7.5	0	0	0	446	640.6	TRUE
2713	2713	东易日盛	装修装饰	北京	0	0.8	2.6	2.7	-0.2	4.8	3.8	20140219	-5.7	32.3	-8.7	0	0	0	13.7	46.7	 
2555	2555	三七互娱	互联网	安徽	13.2	11.8	21.3	0.3	0.2	2.9	3.6	20110302	-5.3	71.6	24.7	0	0	0	116.2	208.9	TRUE
300050	300050	世纪鼎利	软件服务	广东	64.4	3.7	5.6	3.1	0	5.1	1.1	20100120	-62.1	40	6	0	0	0	19.6	29.5	 
600640	600640	号百控股	酒店餐饮	上海	41.6	5.9	8	3	0.1	5.5	1.8	19930407	-26.5	29.3	5.5	0	0	0	54.5	73.7	 
2089	2089	新 海 宜	通信设备	江苏	74.8	9.8	13.8	0	0	1.3	3.1	20061130	39.7	28.6	20.2	0	0	0	37.2	52.5	 
2105	2105	信隆健康	文教休闲	深圳	203.7	3.7	3.7	0.2	0	1.4	3.1	20070112	-87.6	13.4	0.6	0	0	0	15.1	15.1	 
300025	300025	华星创业	通信设备	浙江	0	3.9	4.3	0.1	0	1.7	2.3	20091030	-425.1	14.8	-3.9	0	0	0	14.9	16.4	 
300520	300520	科大国创	软件服务	安徽	1751.7	1.1	2	0.8	0	2.8	6.5	20160708	107	40.7	0.4	0	0	0	19.7	35.2	 
300252	300252	金信诺	电气设备	深圳	26.8	3.9	5.8	2	0.2	4	2.1	20110818	-18.7	25.2	6.7	0	0	0	31.9	47.2	 
687	687	华讯方舟	通信设备	河北	87.3	5.3	7.7	1.2	0	2	4.1	19970221	46.2	36.7	4.7	0	0	0	41.2	59.7	 
300020	300020	银江股份	软件服务	浙江	25.8	6.2	6.6	2.1	0.1	4.8	1.8	20091030	59.7	26.5	11.1	0	0	0	50.6	53.6	 
673	673	当代东方	影视音像	山西	13	7.9	7.9	1.8	0.1	2.9	2.2	19970124	607.5	44	39.6	0	0	0	46.7	47	 
300494	300494	盛天网络	互联网	湖北	33.2	0.9	2.4	1.4	0.1	4.1	2.7	20151231	-23.8	43.5	17.4	0	0	0	9.4	25.7	 
2517	2517	恺英网络	互联网	福建	12.1	8.7	21.5	0.7	0.1	2.4	2.4	20101207	19.2	78.3	39.2	0	0	0	46.8	115.4	 
300245	300245	天玑科技	软件服务	上海	37.4	2.2	3.1	2.1	0.1	4.4	2.1	20110719	-9.2	33.2	22.2	0	0	0	19.6	28.2	 
603009	603009	北特科技	汽车配件	上海	27.8	3.2	3.6	2.6	0.1	4.7	1.5	20140718	20.3	27.6	8.1	0	0	0	22.3	25	 
300399	300399	京天利	互联网	北京	0	1.3	2	0.3	0	2	4.6	20141009	-127.6	19.3	-3.7	0	0	0	12.2	18	 
2312	2312	三泰控股	电脑设备	四川	0	10.7	14.1	2	-0.1	2.4	1.5	20091203	-208.2	4.1	-53.3	0	0	0	36.4	47.6	 
300468	300468	四方精创	软件服务	深圳	60	1.9	2	3.6	0.1	5	3.3	20150527	5	44.2	12.7	0	0	0	29.1	30.7	 
600446	600446	金证股份	软件服务	深圳	0	8.4	8.5	0.3	0	2	4.7	20031224	3.4	19.1	-2.3	0	0	0	76.8	78.5	 
