code,name,industry,area,pe,outstanding,totals,esp,bvps,pb,timeToMarket,rev,profit,gpr,npr,tmpclose,pos2year,pos1year,pos6month,de2year,de1year,de6month,totalvalue,subvalue
600751,海航科技,水运,天津,0,25.73,28.99,-0.018,4.6,1.41,19960909,4.38,-226.07,6.44,-0.07,6.49,0.17,0.28,NA,0.39,0.19,NA,188.15,166.99
600399,*ST抚钢,特种钢,辽宁,0,11.3,13,-0.017,-0.88,-6.22,20001229,12.12,-169.75,8.94,-1.41,5.5,0.03,0.04,NA,0.33,0.26,NA,71.5,62.15
600226,瀚叶股份,农药化肥,浙江,60.44,19.93,31.39,0.019,1.36,3.36,19991116,-29.89,-39.54,44.98,26.41,4.56,0,0,NA,0.29,0.19,NA,143.14,90.88
600086,东方金钰,服饰,湖北,24.88,10.57,13.5,0.101,2.48,4.05,19970606,-22.25,2.31,23.11,7.95,10.04,0.23,0,NA,0.15,0.11,NA,135.54,106.12
2739,万达电影,影视音像,北京,28.15,17.1,17.61,0.307,6.85,5.04,20150122,27.57,14.07,32.42,12.72,34.56,0.04,NA,NA,0.3,NA,NA,608.6,590.98
2147,新光圆成,区域地产,安徽,0,5.37,18.28,-0.038,4.48,3.29,20070808,-27.26,-409.3,23.64,-22.67,14.76,1,1,NA,0,0,NA,269.81,79.26
2113,天润数娱,互联网,湖南,89.89,8.05,15.33,0.016,1.76,3.29,20070208,263.02,369.14,51.77,15.92,5.78,0,0,NA,0.55,0.33,NA,88.61,46.53
2098,浔兴股份,服饰,福建,442.95,3.1,3.58,0.009,3.42,4.78,20061222,119.83,-57.12,39.64,0.62,16.31,0.42,0.82,NA,0.27,0.03,NA,58.39,50.56
912,*ST天化,农药化肥,四川,30.47,15.68,15.68,0.056,-0.81,-8.35,19990603,8.7,4747.79,20.06,9.92,6.79,0.12,0.27,NA,0.6,0.35,NA,106.47,106.47
540,中天金融,多元金融,贵州,12.26,65.06,70.46,0.099,2.38,2.04,19940202,-36.51,-25.64,35.29,18.07,4.87,0.55,NA,NA,0.13,NA,NA,343.14,316.84
600401,*ST海润,半导体,江苏,0,47.25,47.25,-0.041,0.21,0,20030924,-61.5,31.13,1.45,-67.05,0.87,0,0,NA,0.65,0.48,NA,41.11,41.11
600634,*ST富控,互联网,上海,10.89,5.76,5.76,0.051,3.51,0.63,19930304,33.82,2.14,86.92,10.83,2.22,0.01,0.01,0.01,0.9,0.89,0.87,12.79,12.79
300028,金亚科技,通信设备,四川,0,3.44,3.44,-0.012,0.49,1.56,20091030,689.74,63.14,-4.99,-42.9,0.77,0,0.01,0.01,0.95,0.9,0.84,2.65,2.65
2680,ST长生,生物制药,江苏,7.23,4.04,9.74,0.161,4.12,1.13,20120605,54.05,72.22,91.59,45.4,4.67,0,0,0,0.84,0.84,0.84,45.49,18.87
2323,*ST百特,建筑施工,江苏,69,3.18,7.46,0.005,1.15,1.14,20091218,-8.77,-73.16,25.46,2.49,1.31,0,0.01,0.01,0.95,0.88,0.82,9.77,4.17
2604,*ST龙力,食品,山东,0,5.08,6,-0.031,-0.61,-2.56,20110728,-10.65,-154.78,23.59,-7.68,1.57,0,0,0,0.88,0.87,0.81,9.42,7.98
2122,*ST天马,机械基件,浙江,0,11.84,11.88,-0.02,3.93,0.39,20070328,-32.6,-242.04,6.98,-5.78,1.54,0.01,0.01,0.02,0.9,0.86,0.81,18.3,18.23
576,广东甘化,造纸,广东,0,4.36,4.43,-0.084,2.21,2.18,19940907,-60.46,-84.48,2.06,-23.42,4.83,0,0,0,0.78,0.78,0.78,21.4,21.06
2072,凯瑞德,互联网,山东,0,1.76,1.76,-0.03,0.32,18.79,20061018,90.53,-85.18,10.51,-12.29,5.93,0,0,0,0.82,0.81,0.77,10.44,10.44
2018,*ST华信,农药化肥,安徽,0,22.78,22.78,-0.03,1.5,0.83,20040713,-84.12,-159.41,7.88,-9.77,1.25,0,0,0,0.88,0.85,0.77,28.48,28.48
600807,*ST天业,区域地产,山东,0,7.87,8.85,-0.74,1.19,1.87,19940103,-18.95,-1060.97,5.67,-95.81,2.23,0.02,0.02,0.03,0.86,0.86,0.77,19.74,17.55
600165,新日恒力,钢加工,宁夏,1297.82,6.85,6.85,0.001,1.26,2.92,19980529,-31.27,-69.35,6.38,0.3,3.68,0,0,0,0.8,0.78,0.75,25.21,25.21
600666,奥瑞德,元器件,重庆,22.54,7.95,12.27,0.043,2.19,1.77,19930712,43.47,11.49,23.46,16.22,3.88,0.03,0.04,0.04,0.79,0.75,0.75,47.61,30.85
2622,融钰集团,电气设备,吉林,0,8.39,8.4,-0.01,1.46,1.96,20111018,109.84,-238.2,79.77,-30.78,2.87,0,0,0,0.82,0.82,0.75,24.11,24.08
600610,*ST毅达,建筑施工,上海,1964.71,3.76,10.71,0.001,1.09,1.3,19920805,269.97,103.39,14.89,0.13,1.42,0.01,0.01,0.02,0.9,0.82,0.75,15.21,5.34
2451,摩恩电气,电气设备,上海,58.38,4.13,4.39,0.027,1.51,4.11,20100720,55.42,147.58,33.03,10.22,6.21,0,0,0,0.81,0.81,0.74,27.26,25.65
2427,*ST尤夫,化纤,浙江,42.94,3.85,3.98,0.041,4.57,1.55,20100608,-0.56,-60.3,24.87,1.92,7.09,0.04,0.04,0.05,0.79,0.79,0.73,28.22,27.3
673,当代东方,影视音像,山西,13.03,7.87,7.92,0.118,2.85,2.15,19970124,190.68,607.48,44,39.6,6.13,0.01,0.01,0.01,0.73,0.73,0.73,48.55,48.24
603555,贵人鸟,服饰,福建,13.76,6.29,6.29,0.136,3.84,1.94,20140124,8.48,2.2,36.44,10.22,7.46,0,0,0,0.75,0.72,0.72,46.92,46.92
939,*ST凯迪,新型电力,湖北,0,30.38,39.3,-0.072,2.34,0.56,19990923,-28.03,-368.73,6.54,-39.97,1.31,0.02,0.03,0.04,0.81,0.77,0.72,51.48,39.8
300032,金龙机电,元器件,浙江,0,7.89,8.03,-0.561,4.47,0.8,20091225,2.45,-295.81,8.05,-28.24,3.58,0,0,0,0.8,0.78,0.71,28.75,28.25
600695,绿庭投资,多元金融,上海,0,3.66,7.11,-0.026,0.92,3.57,19931122,3.9,-166.05,80.15,-171.56,3.3,0,0,0,0.71,0.71,0.71,23.46,12.08
300216,千山药机,医疗保健,湖南,0,2.82,3.61,-0.216,1.64,2.52,20110511,-7.18,-21.17,29.72,-110.92,4.14,0,0,0.01,0.89,0.84,0.71,14.95,11.67
600682,南京新百,百货,江苏,36.55,9.73,12.93,0.08,7.26,1.43,19931018,11.12,251.92,36,2.52,10.38,0,0,0,0.74,0.73,0.71,134.21,101
2742,三圣股份,其他建材,重庆,25.88,2.67,4.32,0.08,3.35,2.46,20150217,65.16,32.86,25.36,6.45,8.24,0,0,0,0.71,0.71,0.71,35.6,22
