"","code","name","industry","area","pe","outstanding","totals","totalAssets","liquidAssets","fixedAssets","reserved","reservedPerShare","esp","bvps","pb","timeToMarket","undp","perundp","rev","profit","gpr","npr","holders","tmpclose","max2year","max1year","max6month","min2year","min1year","min6month","pos2year","pos1year","pos6month","de2year","de1year","de6month","totalvalue","subvalue","ZYratio"
"600152","600152","维科技术","电气设备","浙江","25.04",2.93,4.55,"262681.66","148619.25","33786.15","83977.24","1.84","0.122","3.16","1.94",19980609,"8285.92","0.18","1.68","63.77","16.79","7.69","28621.0",6.12,14.88,12.36,7.04,4.87,4.87,4.87,0.124875124875125,0.166889185580774,0.576036866359447,0.588709677419355,0.504854368932039,0.130681818181818,27.846,17.9316,"26.10"
"300023","300023","宝德股份","专用机械","陕西","56.37",1.44,3.16,"694322.81","483271.06","12411.17","58975.38","1.87","0.065","3.46","2.12",20091030,"18008.09","0.57","-13.36","-52.84","0.18","7.88","20842.0",7.33,24.2,13.18,11.57,4.96,4.96,4.96,0.123180873180873,0.288321167883212,0.358547655068079,0.697107438016529,0.443854324734446,0.366464995678479,23.1628,10.5552,"17.55"
"000613","000613","大东海A","旅游服务","海南","1165.77",2.66,3.64,"8796.69","1503.85","3801.71","5414.27","0.15","0.004","0.22","38.12",19970128,"-33982.51","-0.93","7.14","-25.43","62.9","7.93","40000.0",8.21,15.6,13.73,13.73,6.58,6.58,7.08,0.180709534368071,0.227972027972028,0.169924812030075,0.473717948717949,0.40203932993445,0.40203932993445,29.8844,21.8386,"0"
"002297","002297","博云新材","矿物制品","湖南","343.88",3.98,4.71,"221731.75","108446.02","42693.96","114522.47","2.43","0.01","3.22","2.17",20090929,"-11736.01","-0.25","2.82","140.69","27.75","1.74","52156.0",7.01,15.43,11.3,9.48,5.66,5.66,5.66,0.138178096212897,0.239361702127659,0.353403141361256,0.545690213869086,0.379646017699115,0.260548523206751,33.0171,27.8998,"0.03"
"600365","600365","通葡股份","红黄药酒","吉林","155.08",4,4,"100708.45","69252.46","22086.32","54790.86","1.37","0.015","1.74","2.71",20010115,"-25982.15","-0.65","7.4","428.91","17.53","1.2","29622.0",4.71,13.3,8.64,7.87,4.08,4.08,4.08,0.0683297180043384,0.138157894736842,0.16622691292876,0.645864661654135,0.454861111111111,0.401524777636595,18.84,18.84,"21.32"
"300484","300484","蓝海华腾","电气设备","深圳","106.57",0.94,2.08,"104917.9","89790.31","4529.37","8232.95","0.4","0.058","3.36","3.69",20160322,"35920.0","1.73","-39.81","-82.95","38.41","6.82","16552.0",12.38,52.708,33.933,20.07,10.72,10.72,10.72,0.0395351052681719,0.0715116529530866,0.177540106951872,0.765121044243758,0.635163410249609,0.38315894369706,25.7504,11.6372,"21.44"
"002666","002666","德联集团","化工原料","广东","27.74",4.43,7.54,"360040.44","245484.66","53749.6","98210.15","1.3","0.079","3.82","1.15",20120327,"109795.26","1.46","47.37","7.73","14.96","3.4","40057.0",4.39,8.867,7.605,7.605,3.81,3.81,3.81,0.114692505438007,0.152832674571805,0.152832674571805,0.504905830607872,0.422748191978961,0.422748191978961,33.1006,19.4477,"4.52"
"300491","300491","通合科技","电气设备","河北","393.74",0.51,1.45,"54536.28","35244.39","16189.77","16913.25","1.17","0.022","2.97","5.8",20151231,"11004.32","0.76","3.58","150.53","37.78","4.69","17011.0",17.24,73.597,33.217,20.65,13.06,13.06,13.06,0.0690486809719675,0.207372128789006,0.550724637681159,0.765751321385383,0.480988650389861,0.165133171912833,24.998,8.7924,"8.42"
"002464","002464","众应互联","互联网","江苏","18.45",2.83,3.26,"311417.75","57545.26","3043.74","70440.28","2.16","0.328","4.53","2.67",20100831,"37611.15","1.15","141.15","29.64","64.67","27.57","13029.0",12.09,40.328,27.89,19.07,9.62,9.62,9.62,0.080435065780904,0.135194307608101,0.261375661375661,0.700208292005554,0.566511294370742,0.366019926586261,39.4134,34.2147,"50.32"
"002239","002239","奥特佳","汽车配件","江苏","16.88",30.09,31.31,"883232.38","456372.66","125939.52","89885.63","0.29","0.075","1.72","1.47",20080522,"129450.2","0.41","-17.43","27.18","17.71","10.57","65394.0",2.53,6.041,5.584,3.849,2.28,2.28,2.28,0.0664716830630152,0.0756658595641646,0.159337157425112,0.581195166363185,0.546919770773639,0.342686412055079,79.2143,76.1277,"44.96"
"000025","000025","特 力Ａ","汽车服务","深圳","159.35",2.71,2.97,"147858.47","56926.71","11692.71","56522.63","1.9","0.091","3.33","8.66",19930621,"12471.87","0.42","22.97","9.45","22.34","13.6","52145.0",28.86,72.12,48.32,44.34,26.12,26.12,26.12,0.0595652173913043,0.123423423423423,0.150384193194292,0.599833610648918,0.40273178807947,0.349120433017591,85.7142,78.2106,"0.02"
"600333","600333","长春燃气","供气供热","吉林","0.0",5.3,6.09,"538051.0","71165.86","355512.28","99027.61","1.63","-0.142","3.44","1.86",20001211,"33665.71","0.55","11.11","-766.43","26.03","-11.73","50387.0",6.39,11.384,8.917,6.47,4.756,4.756,4.756,0.246529873264937,0.392694063926941,0.953325554259043,0.438685874912157,0.28339127509252,0.0123647604327666,38.9151,33.867,"0.02"
"002454","002454","松芝股份","汽车配件","上海","22.85",6.17,6.32,"564084.81","370768.56","96022.21","76671.92","1.21","0.15","4.98","1.02",20100720,"159925.31","2.53","4.62","-38.66","24.02","3.81","22435.0",5.08,11.343,9.883,9.355,4.53,4.53,4.53,0.0807280199618376,0.102746123668971,0.113989637305699,0.552146698404302,0.485986036628554,0.456974879743453,32.1056,31.3436,"0.02"
"300215","300215","电科院","电气设备","江苏","45.72",6.08,7.58,"389970.53","85092.07","212494.13","72307.56","0.95","0.069","2.58","2.44",20110511,"40167.23","0.53","11.16","2.36","47.96","15.87","37644.0",6.3,23.235,11.969,8.127,5.6,5.6,5.6,0.0396937907570173,0.109907363793374,0.277008310249307,0.728857327307941,0.473640237279639,0.224806201550388,47.754,38.304,"3.20"
"002560","002560","通达股份","电气设备","河南","84.32",2.71,4.29,"262057.34","144215.55","28756.0","70469.74","1.64","0.031","3.5","1.48",20110303,"37030.84","0.86","22.58","47.82","8.86","1.48","32244.0",5.2,13.936,8.348,7.74,4.11,4.11,4.11,0.110930185222878,0.257196790939122,0.300275482093664,0.626865671641791,0.377096310493531,0.328165374677003,22.308,14.092,"22.99"
"300140","300140","中环装备","电气设备","陕西","0.0",2.45,3.45,"394303.13","306958.63","37747.85","49873.84","1.44","-0.08","3.71","2.61",20101112,"36412.44","1.05","-13.14","-231.48","22.22","-4.75","25563.0",9.67,24.351,15.545,15.545,7.5,7.5,7.5,0.128775740312148,0.269732753262896,0.269732753262896,0.602891051702189,0.377935027339981,0.377935027339981,33.3615,23.6915,"15.54"
"000989","000989","九 芝 堂","中成药","湖南","20.18",4.2,8.69,"572051.88","323600.88","115382.63","176361.84","2.03","0.376","5.16","2.94",20000628,"158843.59","1.83","1.29","-9.77","66.2","18.15","22307.0",15.17,25.283,22.635,22.635,13.05,13.05,13.05,0.173301724842639,0.221178925404277,0.221178925404277,0.399992089546336,0.329798983874531,0.329798983874531,131.8273,63.714,"34.81"
"600199","600199","金种子酒","白酒","安徽","256.8",5.56,5.56,"298840.94","175701.02","57862.03","70080.28","1.26","0.011","4.04","1.37",19980812,"85068.4","1.53","-4.19","18.0","49.03","1.09","71075.0",5.55,10.603,9.655,7.748,5.14,5.14,5.14,0.0750503386417719,0.0908084163898118,0.157208588957055,0.476563236819768,0.425168306576903,0.283686112545173,30.858,30.858,"0.00"
"600259","600259","广晟有色","小金属","海南","0.0",2.62,3.02,"428768.81","330676.97","29876.0","208830.34","6.92","-0.1","6.35","3.61",20000525,"-50511.4","-1.67","-57.41","6.61","4.73","-2.63","49008.0",22.94,61.94,52.68,35.64,21.1,21.1,21.1,0.0450538687561214,0.058264724509183,0.126547455295736,0.629641588634162,0.564540622627183,0.356341189674523,69.2788,60.1028,"0.08"
"002280","002280","联络互动","软件服务","浙江","38.14",17.12,21.77,"1271433.75","570506.88","90711.35","300399.31","1.38","0.071","2.92","1.84",20090821,"85759.22","0.39","100.29","388.16","14.15","2.03","135330.0",5.38,21.593,9.92,7.7,4.99,4.99,4.99,0.0234897307715473,0.0791075050709939,0.143911439114391,0.750845181308758,0.457661290322581,0.301298701298701,117.1226,92.1056,"32.84"
"000595","000595","宝塔实业","机械基件","宁夏","272.64",7.54,7.64,"183285.05","87312.47","47094.18","47904.48","0.63","0.007","0.92","4.36",19960419,"-50603.35","-0.66","25.7","-54.32","22.64","2.36","49677.0",4.03,11.61,6.18,5.35,3.41,3.41,3.41,0.075609756097561,0.223826714801444,0.31958762886598,0.652885443583118,0.34789644012945,0.246728971962617,30.7892,30.3862,"44.97"
"300201","300201","海伦哲","专用机械","江苏","98.68",8.74,10.25,"285853.72","180196.19","42214.4","12488.25","0.12","0.021","1.43","2.9",20110407,"35427.3","0.35","11.64","-23.69","24.31","3.34","38808.0",4.16,9.152,9.063,6.483,3.87,3.87,3.87,0.054903445664521,0.055844405931061,0.110983543819365,0.545454545454545,0.540990841884586,0.358321764615147,42.64,36.3584,"29.40"
"300072","300072","三聚环保","环境保护","北京","13.17",18.01,23.51,"2664952.5","2265066.0","252181.0","170121.88","0.72","0.517","4.26","3.19",20100427,"635321.69","2.7","-15.32","0.1","23.25","11.86","53563.0",13.61,32.532,30.142,26.236,12.67,12.67,12.67,0.0473265532171987,0.0538003663003663,0.0692908742444346,0.581642690274192,0.548470572622918,0.48124714133252,319.9711,245.1161,"43.71"
"000979","000979","中弘股份","区域地产","安徽","0.0",83.89,83.91,"4514203.0","3682798.5","66573.93","78492.02","0.09","-0.158","0.75","1.26",20000616,"-296644.41","-0.35","9.04","-4625.39","20.91","-53.54","246586.0",0.95,2.04,1.96,1.85,0.77,0.77,0.77,0.141732283464567,0.151260504201681,0.166666666666667,0.534313725490196,0.51530612244898,0.486486486486487,79.7145,79.6955,"26.47"
"300104","300104","乐视网","互联网","北京","0.0",30.73,39.89,"1700803.38","784197.25","45031.34","864323.38","2.17","-0.277","-0.12","-32.99",20100812,"-1333223.38","-3.34","-82.25","-73.36","-49.67","-112.21","303116.0",3.94,23.636,13.8,6.59,2.08,2.08,2.08,0.0862868806828725,0.158703071672355,0.412416851441242,0.833305127771196,0.714492753623188,0.402124430955994,157.1666,121.0762,"40.58"
"603399","603399","吉翔股份","小金属","辽宁","13.11",5.08,5.47,"418734.38","298781.34","35761.46","177752.31","3.25","0.421","4.45","2.48",20120824,"41034.4","0.75","92.35","278.04","9.17","11.51","12954.0",11.04,20.753,20.753,20.753,9.266,10.49,10.49,0.154435448768173,0.0535905680600213,0.0535905680600213,0.468028718739459,0.468028718739459,0.468028718739459,60.3888,56.0832,"31.71"
"600793","600793","宜宾纸业","造纸","四川","4.34",1.05,1.05,"361786.69","138519.5","192974.77","10537.1","1.0","2.068","3.45","5.21",19970220,"14915.47","1.42","41.29","65.06","17.31","31.29","9491.0",17.97,43.41,32.98,23.38,13.18,13.18,13.18,0.1584518690043,0.241919191919192,0.469607843137255,0.5860400829302,0.455124317768344,0.231394354148845,18.8685,18.8685,"0.02"
"002564","002564","天沃科技","化工机械","江苏","26.32",6.02,8.83,"2654043.0","2080176.75","176404.75","229851.8","2.6","0.14","4.35","1.41",20110310,"57603.83","0.65","-42.97","13.7","10.69","2.59","45198.0",6.14,12.12,10.1,8.3,5.43,5.43,5.43,0.106128550074738,0.15203426124197,0.247386759581881,0.493399339933993,0.392079207920792,0.260240963855422,54.2162,36.9628,"22.84"
"600418","600418","江淮汽车","汽车整车","安徽","30.4",18.93,18.93,"4826199.0","2596139.0","1305613.13","521425.41","2.75","0.086","7.29","0.72",20010824,"494414.31","2.61","-6.34","-52.58","9.21","0.69","93448.0",5.25,13.734,12.265,8.16,4.83,4.83,4.83,0.0471698113207547,0.0564895763281775,0.126126126126126,0.617737003058104,0.571952710966164,0.356617647058824,99.3825,99.3825,"3.86"
