date	code	name	count	unlimit	limit	totalA	zyRatio
2018-11-09	000001	____	739	1163.82	0.00	1717041.14	0.07
2018-11-09	000002	___	81	91051.41	0.00	972419.65	9.36
2018-11-09	000004	____	1	839.76	0.00	8397.67	10.00
2018-11-09	000005	____	36	20816.35	5839.45	105853.68	25.18
2018-11-09	000006	____	1	0.38	0.00	134999.50	0.00
2018-11-09	000007	___	24	7500.45	0.00	34644.80	21.65
2018-11-09	000008	____	77	31703.70	139.48	281832.98	11.30
2018-11-09	000009	____	129	24555.60	0.00	214934.50	11.42
2018-11-09	000010	____	21	360.65	12660.02	81985.47	15.88
2018-11-09	000011	___A	29	5.87	0.00	52837.38	0.01
2018-11-09	000012	___	132	82.19	0.00	185475.99	0.04
2018-11-09	000014	____	27	53.24	0.00	20170.52	0.26
2018-11-09	000016	____	16	116.19	0.00	159659.38	0.07
2018-11-09	000017	___A	15	17.90	0.00	30298.50	0.06
2018-11-09	000018	____	74	59490.36	5599.58	143444.18	45.38
2018-11-09	000019	____	13	3.34	0.00	110078.60	0.00
2018-11-09	000020	___A	2	11610.00	0.00	18116.54	64.09
2018-11-09	000021	___	99	45.73	0.00	147125.94	0.03
2018-11-09	000022	____	9	2.61	0.00	46486.83	0.01
2018-11-09	000023	____	2	8.80	0.00	13875.62	0.06
2018-11-09	000025	___	17	4.47	0.00	27088.16	0.02
2018-11-09	000026	____	15	45.70	0.00	35709.69	0.13
2018-11-09	000027	____	60	70.72	0.00	396449.16	0.02
2018-11-09	000028	____	6	0.52	0.00	37324.14	0.00
2018-11-09	000029	____	19	14.17	0.00	89166.00	0.02
2018-11-09	000030	____	6	11476.32	0.00	176273.32	6.51
2018-11-09	000031	____	24	10.92	0.00	181373.16	0.01
2018-11-09	000032	____	13	3.91	0.00	41321.97	0.01
2018-11-09	000034	____	30	3965.00	26048.87	65407.04	45.89
2018-11-09	000035	____	30	48336.86	0.00	135152.14	35.76
2018-11-09	000036	____	117	145.12	0.00	114148.77	0.13
2018-11-09	000037	___A	9	7.22	0.00	33890.82	0.02
2018-11-09	000038	___	47	7923.67	26654.16	52277.74	66.14
2018-11-09	000039	____	49	16.97	0.00	126838.48	0.01
2018-11-09	000040	____	20	14190.16	27397.26	133717.33	31.10
2018-11-09	000042	____	17	17592.50	17683.46	66483.11	53.06
2018-11-09	000043	____	35	22.99	0.00	66696.14	0.03
2018-11-09	000045	____	72	16.09	0.00	46177.41	0.03
2018-11-09	000046	____	63	348110.05	9583.33	519620.07	68.84
2018-11-09	000048	*ST__	11	12398.69	0.00	39076.87	31.73
2018-11-09	000049	____	24	0.84	0.00	20524.37	0.00
2018-11-09	000050	____	162	3550.32	0.00	204812.31	1.73
2018-11-09	000055	____	29	3790.17	0.00	67971.55	5.58
2018-11-09	000056	____	42	53367.65	0.00	93129.37	57.30
2018-11-09	000058	___	9	18.48	0.00	98919.49	0.02
2018-11-09	000059	____	59	26.67	0.00	159944.25	0.02
2018-11-09	000060	____	231	19608.55	0.00	356968.53	5.49
2018-11-09	000061	___	27	16.92	0.00	169696.41	0.01
2018-11-09	000062	____	31	7.26	0.00	72131.68	0.01
2018-11-09	000063	____	24	1.76	0.00	343716.93	0.00
2018-11-09	000065	____	79	13.98	0.00	76950.54	0.02
2018-11-09	000066	____	249	220.90	0.00	293616.56	0.08
2018-11-09	000068	____	51	28339.11	0.00	100667.15	28.15
2018-11-09	000069	____	37	63.95	11747.43	820408.14	1.44
2018-11-09	000070	____	50	66.87	1775.99	62699.47	2.94
2018-11-09	000078	____	48	45122.30	76419.39	264661.33	45.92
2018-11-09	000088	___	15	15.70	0.00	194220.00	0.01
2018-11-09	000089	____	5	1.77	0.00	205076.95	0.00
2018-11-09	000090	____	22	28.62	4628.10	143734.26	3.24
2018-11-09	000096	____	17	1.68	0.00	52800.00	0.00
2018-11-09	000099	____	8	59.02	0.00	60607.04	0.10
2018-11-09	000100	TCL__	254	147450.54	74742.00	1354964.85	16.40
2018-11-09	000150	____	29	27006.19	5121.20	62692.68	51.25
2018-11-09	000151	____	11	2.30	0.00	29598.00	0.01
2018-11-09	000153	____	10	46.96	0.00	31707.76	0.15
2018-11-09	000155	____	58	14389.56	0.00	127000.00	11.33
2018-11-09	000156	____	109	29657.49	0.00	143335.19	20.69
2018-11-09	000157	____	64	37373.17	0.00	642237.13	5.82
2018-11-09	000158	____	122	40554.28	0.00	165287.50	24.54
2018-11-09	000159	____	24	12055.98	0.00	48113.93	25.06
2018-11-09	000166	____	198	15503.05	87218.92	2253594.46	4.56
2018-11-09	000301	____	20	50.35	0.00	402905.32	0.01
2018-11-09	000333	____	334	76797.41	0.00	664825.07	11.55
2018-11-09	000338	____	89	1295.38	0.00	605419.86	0.21
2018-11-09	000400	____	18	5.58	0.00	100832.73	0.01
2018-11-09	000401	____	98	14261.57	0.00	134752.29	10.58
2018-11-09	000402	___	63	108.30	0.00	298892.99	0.04
2018-11-09	000403	ST__	4	14339.42	0.00	27257.76	52.61
2018-11-09	000404	____	17	6.01	0.00	69599.60	0.01
2018-11-09	000407	____	46	17620.64	1631.00	88008.47	21.87
2018-11-09	000408	____	39	3931.98	151501.43	199377.95	77.96
2018-11-09	000409	*ST__	1	0.58	0.00	51093.12	0.00
2018-11-09	000410	____	1	11500.00	0.00	76547.09	15.02
2018-11-09	000413	____	839	32482.70	76580.38	548025.01	19.90
2018-11-09	000415	____	109	172772.99	197692.00	618452.13	59.90
2018-11-09	000416	____	24	12242.33	0.00	53187.15	23.02
2018-11-09	000417	____	17	23.52	0.00	77988.42	0.03
2018-11-09	000418	____	4	0.06	0.00	44145.19	0.00
2018-11-09	000419	____	31	7717.32	0.00	54358.27	14.20
2018-11-09	000420	____	26	34824.29	13272.00	197070.67	24.41
2018-11-09	000421	____	1	4.00	0.00	57264.69	0.01
2018-11-09	000422	*ST__	2	6300.00	0.00	89786.67	7.02
