,date,open,close,high,low,volume,code
26,2016-08-22,13.443,14.263,14.736,13.197,158773.0,000007
27,2016-08-23,14.263,14.736,15.296,13.93,190130.0,000007
28,2016-08-24,14.583,14.583,14.956,14.383,116304.0,000007
29,2016-08-25,14.463,14.743,14.916,14.13,120006.0,000007
30,2016-08-26,14.63,14.41,14.783,14.336,80916.0,000007
31,2016-08-29,14.33,14.123,14.616,14.083,66273.0,000007
32,2016-08-30,13.93,14.143,14.316,13.863,69778.0,000007
33,2016-08-31,14.083,14.93,14.93,14.017,108871.0,000007
34,2016-09-01,14.996,14.57,15.396,14.57,112748.0,000007
35,2016-09-02,14.736,14.716,14.963,14.197,79944.0,000007
36,2016-09-05,14.743,14.51,15.056,14.403,63493.0,000007
37,2016-09-06,14.53,14.896,15.023,14.436,106651.0,000007
38,2016-09-07,14.763,14.71,14.876,14.63,61069.0,000007
39,2016-09-08,14.663,14.503,14.85,14.33,53240.0,000007
40,2016-09-09,14.49,14.543,14.596,14.13,58548.0,000007
41,2016-09-12,14.383,14.416,14.903,14.21,77275.0,000007
42,2016-09-13,14.343,14.27,14.65,14.163,36992.0,000007
43,2016-09-14,14.27,13.93,14.47,13.93,42920.0,000007
44,2016-09-19,14.117,14.163,14.316,13.997,36591.0,000007
45,2016-09-20,14.203,15.583,15.583,14.203,177612.0,000007
46,2016-09-21,15.609,15.716,15.896,15.136,171836.0,000007
47,2016-09-22,15.863,15.47,16.109,15.463,141736.0,000007
48,2016-09-23,15.663,15.749,15.869,15.336,92730.0,000007
49,2016-09-26,15.756,16.663,16.962,15.603,224038.0,000007
50,2016-09-27,16.416,16.109,16.656,15.736,120830.0,000007
51,2016-09-28,15.869,16.176,16.303,15.569,74147.0,000007
52,2016-09-29,16.456,15.909,16.962,15.736,117759.0,000007
53,2016-09-30,15.649,16.209,16.276,15.47,76268.0,000007
54,2016-10-10,16.329,17.456,17.649,16.329,140467.0,000007
55,2016-10-11,17.289,17.242,17.589,16.862,118038.0,000007
56,2016-10-12,17.209,17.496,17.662,16.989,123676.0,000007
57,2016-10-13,17.496,17.289,17.729,17.129,73825.0,000007
58,2016-10-14,17.062,17.369,17.449,16.849,65970.0,000007
59,2016-10-17,17.316,17.349,17.596,17.156,72380.0,000007
60,2016-10-18,17.356,17.402,17.582,17.202,53896.0,000007
61,2016-10-19,17.449,17.302,17.556,17.082,49388.0,000007
62,2016-10-20,17.329,17.369,17.442,17.042,74849.0,000007
63,2016-10-21,17.369,17.142,17.436,17.142,35874.0,000007
64,2016-10-24,17.242,17.376,17.662,17.229,47187.0,000007
65,2016-10-25,17.362,17.189,17.382,16.996,40913.0,000007
66,2016-10-26,17.262,17.256,17.329,17.009,24033.0,000007
67,2016-10-27,17.322,17.362,17.582,17.209,39395.0,000007
68,2016-10-28,17.229,17.409,17.496,17.209,33171.0,000007
69,2016-10-31,17.496,17.209,17.542,17.196,28813.0,000007
70,2016-11-01,17.089,17.309,17.449,17.089,28547.0,000007
71,2016-11-02,17.262,17.289,17.396,17.142,26636.0,000007
72,2016-11-03,17.316,17.889,18.995,17.269,92270.0,000007
73,2016-11-04,18.169,18.056,18.449,17.709,65175.0,000007
74,2016-11-07,18.049,18.595,18.649,17.916,67011.0,000007
75,2016-11-08,18.822,18.749,19.095,18.675,68202.0,000007
76,2016-11-09,18.702,18.189,18.829,17.982,67356.0,000007
77,2016-11-10,18.229,18.116,18.522,17.996,43752.0,000007
78,2016-11-11,18.076,17.716,18.109,17.622,56179.0,000007
79,2016-11-14,17.916,17.629,17.969,17.562,33925.0,000007
80,2016-11-15,17.662,17.596,17.762,17.382,31556.0,000007
81,2016-11-16,17.616,18.069,18.096,17.502,43932.0,000007
82,2016-11-17,17.996,17.669,18.062,17.596,33857.0,000007
83,2016-11-18,17.709,17.749,18.082,17.596,27447.0,000007
84,2016-11-21,17.729,17.589,17.869,17.342,27498.0,000007
85,2016-11-22,17.696,17.582,17.762,17.496,22416.0,000007
86,2016-11-23,17.596,17.769,18.262,17.536,41909.0,000007
87,2016-11-24,17.749,17.516,17.769,17.342,28615.0,000007
88,2016-11-25,17.349,17.149,17.602,16.676,27063.0,000007
89,2016-11-28,17.249,17.049,17.496,16.996,26207.0,000007
90,2016-11-29,17.062,16.763,17.322,16.763,23934.0,000007
91,2016-11-30,16.323,16.989,17.102,16.216,35587.0,000007
92,2016-12-01,17.109,16.889,17.262,16.716,19444.0,000007
93,2016-12-02,16.889,16.763,16.962,16.603,14290.0,000007
94,2016-12-05,16.756,16.716,16.869,16.329,14913.0,000007
95,2016-12-06,16.716,17.229,17.296,16.663,20876.0,000007
96,2016-12-07,17.342,17.629,17.842,17.082,54614.0,000007
97,2016-12-08,17.616,17.516,17.616,17.136,23816.0,000007
98,2016-12-09,17.482,17.256,17.482,17.256,15854.0,000007
99,2016-12-12,17.342,16.563,17.602,16.529,26881.0,000007
100,2016-12-13,16.463,16.316,16.743,16.016,23934.0,000007
101,2016-12-14,16.316,16.189,16.483,16.189,15399.0,000007
102,2016-12-15,16.316,16.449,16.869,16.189,14369.0,000007
103,2016-12-16,16.496,16.656,16.896,16.483,15942.0,000007
104,2016-12-19,16.696,16.869,17.116,16.696,19846.0,000007
105,2016-12-20,17.096,17.169,17.556,16.996,28772.0,000007
106,2016-12-21,17.096,16.976,17.249,16.809,19525.0,000007
107,2016-12-22,16.949,16.769,17.102,16.683,17322.0,000007
108,2016-12-23,16.996,16.456,16.996,16.456,18517.0,000007
109,2016-12-26,16.456,16.843,16.996,16.276,25391.0,000007
110,2016-12-27,17.036,16.962,17.062,16.862,19931.0,000007
111,2016-12-28,17.176,16.989,17.176,16.862,14426.0,000007
112,2016-12-29,16.783,16.962,17.089,16.783,9952.0,000007
113,2016-12-30,16.962,17.082,17.129,16.876,13976.0,000007
114,2017-01-03,17.396,17.396,17.529,17.169,17278.0,000007
115,2017-01-04,17.389,17.642,17.742,17.329,25821.0,000007
116,2017-01-05,17.849,17.489,17.856,17.402,15946.0,000007
117,2017-01-06,17.489,16.962,17.529,16.936,16663.0,000007
118,2017-01-09,16.769,16.723,16.962,16.643,15141.0,000007
119,2017-01-10,16.723,16.523,16.789,16.449,21516.0,000007
120,2017-01-11,16.496,16.563,16.876,16.396,23479.0,000007
121,2017-01-12,16.463,16.403,16.663,16.396,12201.0,000007
122,2017-01-13,16.429,15.869,16.429,14.816,30746.0,000007
123,2017-07-17,14.28,14.28,14.28,14.28,35691.0,000007
124,2017-07-18,12.85,14.6,15.45,12.85,137785.0,000007
125,2017-07-19,14.4,14.51,14.77,14.05,61568.0,000007
126,2017-07-20,14.34,14.59,14.72,14.34,32301.0,000007
127,2017-07-21,14.34,16.05,16.05,14.34,136019.0,000007
128,2017-07-24,16.43,16.6,17.27,16.31,124240.0,000007
129,2017-07-25,16.67,16.62,16.95,16.31,63792.0,000007
130,2017-07-26,16.49,16.97,17.33,16.49,100040.0,000007
131,2017-07-27,16.8,16.69,17.41,16.69,71277.0,000007
132,2017-07-28,16.51,16.19,16.8,16.07,58216.0,000007
133,2017-07-31,16.58,16.77,17.17,16.49,54586.0,000007
134,2017-08-01,16.77,17.37,17.53,16.77,100044.0,000007
135,2017-08-02,17.42,16.93,17.6,16.9,53135.0,000007
136,2017-08-03,16.93,17.16,17.35,16.75,40550.0,000007
137,2017-08-04,17.0,17.15,17.18,16.88,27038.0,000007
