date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-08-20,6.69,7.55,7.55,6.46,24833.22,0.69,10.06,7.028,6.983,7.098,10737.29,9161.03,8702.77
2018-08-17,6.82,7.19,6.86,6.79,15011.19,0.06,0.88,6.92,6.905,7.076,7009.25,7751.63,7769.86
2018-08-16,6.84,6.88,6.81,6.72,5781.0,-0.1,-1.45,6.958,6.91,7.087,5472.77,6701.45,7189.8
2018-08-15,6.99,7.04,6.91,6.86,4385.0,-0.08,-1.14,6.984,6.922,7.096,5832.21,7179.17,7120.08
2018-08-14,7.07,7.07,7.01,6.95,3676.02,0.0,0.0,6.968,6.954,7.107,6633.01,7314.27,7195.82
2018-08-13,6.99,7.05,7.01,6.89,6193.02,-0.04,-0.57,6.938,6.99,7.113,7584.78,7485.47,7142.61
2018-08-10,6.95,7.08,7.05,6.86,7328.8,0.11,1.58,6.89,7.02,7.119,8494.02,7860.17,7018.09
2018-08-09,6.81,6.98,6.94,6.71,7578.19,0.12,1.76,6.862,7.064,7.121,7930.13,7702.79,6830.19
2018-08-08,6.87,6.88,6.83,6.7,8389.0,-0.03,-0.44,6.86,7.117,7.128,8526.13,8124.07,6810.38
2018-08-07,6.77,6.91,6.86,6.65,8434.9,0.08,1.18,6.94,7.167,7.132,7995.53,8040.48,6713.68
2018-08-06,7.08,7.08,6.77,6.63,10739.19,-0.14,-2.03,7.042,7.212,7.145,7386.15,8244.5,6501.33
2018-08-03,6.91,7.06,6.91,6.9,4509.38,0.0,0.0,7.15,7.246,7.16,7226.32,7788.08,6218.92
2018-08-02,7.18,7.27,6.93,6.81,10558.2,-0.3,-4.15,7.266,7.264,7.165,7475.44,7678.14,6403.81
2018-08-01,7.36,7.47,7.23,7.23,5736.0,-0.13,-1.77,7.374,7.269,7.159,7722.0,7060.99,6211.8
2018-07-31,7.26,7.39,7.37,7.26,5388.0,0.07,0.96,7.394,7.259,7.151,8085.42,7077.36,6095.35
2018-07-30,7.47,7.65,7.31,7.24,9940.01,-0.15,-2.01,7.382,7.236,7.14,9102.84,6799.76,6034.11
2018-07-27,7.43,7.57,7.49,7.38,5755.0,0.02,0.27,7.342,7.218,7.127,8349.84,6176.02,5871.7
2018-07-26,7.32,7.58,7.47,7.26,11791.0,0.14,1.91,7.262,7.178,7.11,7880.84,5957.58,5982.24
2018-07-25,7.3,7.34,7.33,7.21,7553.1,0.02,0.27,7.164,7.138,7.083,6399.98,5496.68,5563.89
2018-07-24,7.16,7.33,7.31,7.11,10475.1,0.19,2.67,7.124,7.096,7.064,6069.3,5386.87,5521.94
2018-07-23,7.1,7.16,7.11,7.05,6175.0,0.04,0.57,7.09,7.077,7.046,4496.68,4758.16,5246.46
2018-07-20,7.03,7.11,7.09,6.92,3410.0,0.1,1.43,7.094,7.073,7.038,4002.2,4649.76,5282.93
2018-07-19,7.1,7.13,6.98,6.95,4386.7,-0.16,-2.24,7.094,7.065,7.036,4034.33,5129.47,5570.23
2018-07-18,7.11,7.23,7.13,7.07,5899.7,-0.02,-0.28,7.112,7.049,7.03,4593.39,5362.61,5761.54
2018-07-17,7.11,7.15,7.14,7.04,2612.0,0.01,0.14,7.068,7.042,7.023,4704.45,5113.34,5822.03
2018-07-16,7.04,7.13,7.13,7.02,3702.62,0.04,0.56,7.064,7.044,7.007,5019.65,5268.45,6173.88
2018-07-13,7.07,7.11,7.09,7.02,3570.62,0.02,0.28,7.052,7.035,7.022,5297.32,5567.38,6218.39
2018-07-12,6.92,7.1,7.07,6.86,7182.0,0.19,2.76,7.036,7.042,7.05,6224.62,6006.9,6184.96
2018-07-11,7.09,7.09,6.91,6.8,6455.0,-0.19,-2.68,6.986,7.028,7.08,6131.84,5631.1,6028.11
2018-07-10,7.07,7.18,7.12,7.03,4188.0,0.05,0.71,7.016,7.031,7.126,5522.24,5657.0,5973.86
2018-07-09,6.93,7.1,7.07,6.9,5091.0,0.06,0.86,7.024,7.014,7.158,5517.26,5734.76,5966.31
2018-07-06,6.95,7.07,7.01,6.7,8207.1,0.16,2.34,7.018,7.002,7.196,5837.44,5916.09,6037.14
2018-07-05,7.09,7.11,6.82,6.8,6718.1,-0.27,-3.81,7.048,7.006,7.244,5789.17,6010.98,5897.73
2018-07-04,7.2,7.2,7.06,7.05,3407.0,-0.1,-1.4,7.07,7.01,7.303,5130.35,6160.47,5830.88
2018-07-03,7.05,7.2,7.16,7.0,4163.1,0.12,1.71,7.046,7.004,7.355,5791.75,6530.71,5899.48
2018-07-02,7.11,7.35,7.04,6.99,6691.89,-0.12,-1.68,7.004,6.969,7.4,5952.26,7079.31,5942.08
2018-06-29,6.91,7.17,7.16,6.91,7965.78,0.24,3.47,6.986,7.008,7.448,5994.75,6869.39,5770.45
2018-06-28,6.94,7.13,6.93,6.85,3424.0,-0.01,-0.14,6.964,7.057,7.49,6232.79,6363.02,5651.56
2018-06-27,6.99,7.07,6.94,6.88,6714.0,-0.02,-0.29,6.95,7.131,7.538,7190.59,6425.12,6137.8
2018-06-26,6.86,6.97,6.95,6.71,4965.62,-0.01,-0.14,6.962,7.221,7.603,7269.66,6290.73,6073.46
2018-06-25,7.06,7.15,6.95,6.95,6904.35,-0.09,-1.28,6.934,7.301,7.667,8206.37,6197.86,6387.0
2018-06-22,6.92,7.11,7.05,6.82,9156.0,0.14,2.03,7.03,7.389,7.745,7744.04,6158.19,6436.03
2018-06-21,7.04,7.17,6.86,6.82,8213.0,-0.18,-2.56,7.15,7.481,7.825,6493.24,5784.49,6944.63
2018-06-20,6.88,7.1,7.0,6.74,7109.35,0.17,2.49,7.312,7.596,7.921,5659.65,5501.29,7862.46
2018-06-19,7.43,7.43,6.81,6.71,9649.14,-0.62,-8.35,7.48,7.706,8.001,5311.79,5268.25,7891.49
2018-06-15,7.67,7.67,7.43,7.4,4592.7,-0.2,-2.62,7.668,7.831,8.088,4189.36,4804.84,7828.18
2018-06-14,7.61,7.75,7.65,7.58,2902.0,-0.04,-0.52,7.748,7.887,8.145,4572.33,4671.51,8257.36
2018-06-13,7.8,7.83,7.67,7.65,4045.06,-0.15,-1.92,7.812,7.922,8.181,5075.73,4940.11,8395.36
2018-06-12,7.75,7.89,7.84,7.73,5370.06,0.09,1.16,7.88,7.945,8.222,5342.92,5850.49,8453.27
2018-06-11,7.8,7.87,7.75,7.72,4036.97,-0.07,-0.9,7.932,7.984,8.259,5224.71,5856.2,8469.62
2018-06-08,7.93,7.98,7.83,7.81,6507.57,-0.14,-1.76,7.994,8.033,8.297,5420.32,6576.14,8622.04
2018-06-07,8.02,8.11,7.97,7.96,5419.0,-0.05,-0.62,8.026,8.1,8.334,4770.68,6713.88,8807.16
2018-06-06,8.14,8.14,8.01,8.0,5381.0,-0.09,-1.11,8.032,8.168,8.374,4804.49,8104.78,9037.47
2018-06-05,8.11,8.12,8.1,8.01,4779.0,0.04,0.5,8.01,8.245,8.409,6358.05,10223.63,9095.05
2018-06-04,8.04,8.18,8.06,7.99,5015.01,0.07,0.88,8.036,8.296,8.441,6487.69,10514.73,9230.15
2018-06-01,8.0,8.05,7.99,7.9,3259.41,-0.02,-0.25,8.072,8.345,8.473,7731.96,10851.53,9554.34
