,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603916,苏博特,0.3,,,6.75,,6937.51,,,08-20
1,300454,深信服,0.31,,,8.99,,11058.66,,,08-20
2,603897,长城科技,0.58,,,11.88,,7822.27,,,08-18
3,603711,香飘飘,-0.08,,,-2.53,,-3050.81,,,08-17
4,603283,赛腾股份,0.28,,,10.29,,3377.4,,,08-16
5,300745,欣锐科技,0.36,,,4.94,,3082.12,,,08-15
6,603650,彤程新材,0.28,,,13.49,,14803.25,,,08-14
7,601138,工业富联,,,,6.67,,532497.9,,,08-14
8,300684,中石科技,-0.01,,,-0.13,,-42.42,,,08-10
9,601606,长城军工,0.02,,,0.72,-0.07,1092.63,,,07-17
10,603587,地素时尚,0.8,,,27.56,,27265.62,,,07-17
11,603713,密尔克卫,0.33,,5.89,5.96,0.03,3824.43,,,07-12
12,603680,今创集团,0.58,,4.56,13.58,-0.29,21900.96,,,01-31
13,002927,泰永长征,0.3,,4.55,6.36,-0.21,2083.15,,,01-30
14,603712,七一二,0.08,82.79,2.25,3.55,-0.16,5282.2,82.63,,01-30
15,603709,中源家居,0.66,,2.81,26.81,0.8,3988.31,,,01-25
16,603871,嘉友国际,1.89,58.74,8.01,26.72,-0.01,11334.28,58.76,,01-23
17,603876,鼎胜新材,0.26,,,4.39,-0.87,9471.25,,,01-23
18,603156,养元饮品,2.02,-23.08,12.09,16.73,1.18,100029.05,-23.08,,01-22
19,603706,东方环宇,0.42,,,9.94,0.04,5008.09,,,01-19
20,603214,爱婴室,0.45,,4.46,10.53,0.98,3350.17,,,01-19
21,300634,彩讯股份,0.12,20.0,2.17,5.81,-0.23,4260.94,43.3,,01-17
22,603516,淳中科技,0.67,-48.06,3.53,18.77,-0.74,4719.15,10.11,,01-15
23,300739,明阳电路,0.64,,5.11,12.56,0.71,5918.01,,,01-15
24,603773,沃格光电,1.41,1181.82,8.82,17.33,1.46,9976.6,1190.22,,01-12
25,603596,伯特利,0.33,-40.0,,14.01,0.07,12297.64,40.47,,01-09
26,300738,奥飞数据,0.67,28.85,4.9,14.61,0.75,3269.87,35.74,10派2.1,01-08
27,603895,天永智能,0.66,,4.62,15.3,0.22,3805.7,,,01-08
28,300737,科顺股份,0.24,-73.63,2.91,8.28,-0.06,10815.37,-40.14,,01-08
29,603301,振德医疗,0.62,,,10.05,0.98,4629.95,,,01-05
30,603356,华菱精工,0.32,-15.79,3.05,10.54,0.49,3181.03,-15.56,,01-03
31,002931,锋龙股份,0.35,,2.96,12.64,0.65,2344.93,,,01-03
32,002932,明德生物,0.68,11.48,4.21,17.76,0.38,3413.39,12.2,,12-29
33,603059,倍加洁,0.72,-14.29,,15.42,0.55,4334.09,-13.74,,12-29
34,300746,汉嘉设计,0.14,,3.55,3.96,0.06,2174.71,,,12-27
35,600929,湖南盐业,0.11,,,4.94,0.04,8389.64,,,12-27
36,002925,盈趣科技,1.16,,2.99,44.83,1.19,44018.56,,,12-26
37,300736,百华悦邦,0.51,-8.93,4.52,10.73,0.34,2095.09,-8.25,,12-26
38,002929,润建通信,0.61,27.08,,10.21,-2.85,10174.8,34.14,,12-26
39,300741,华宝股份,0.83,,8.88,9.84,0.98,46230.29,,,12-26
40,603486,科沃斯,0.45,,2.93,16.79,0.34,16191.76,,,12-22
41,300742,越博动力,0.57,850.0,10.67,5.34,-2.31,3367.38,881.0,,12-20
42,601838,成都银行,0.51,,,7.4,4.19,165226.5,,,12-19
43,002923,润都股份,0.62,,5.93,10.98,0.6,4627.48,,,12-18
